Date,State,Total_Confirmed,Death,Cured,New_cases,New_deaths,New_recovered
04-03-2020,Uttar Pradesh,6,0,0,0,0,0
05-03-2020,Uttar Pradesh,7,0,0,1,0,0
06-03-2020,Uttar Pradesh,7,0,0,0,0,0
07-03-2020,Uttar Pradesh,7,0,0,0,0,0
08-03-2020,Uttar Pradesh,7,0,0,0,0,0
09-03-2020,Uttar Pradesh,7,0,0,0,0,0
10-03-2020,Uttar Pradesh,7,0,0,0,0,0
11-03-2020,Uttar Pradesh,9,0,0,2,0,0
12-03-2020,Uttar Pradesh,11,0,0,2,0,0
13-03-2020,Uttar Pradesh,11,0,0,0,0,0
14-03-2020,Uttar Pradesh,12,0,5,1,0,5
15-03-2020,Uttar Pradesh,13,0,4,1,0,-1
16-03-2020,Uttar Pradesh,13,0,4,0,0,0
17-03-2020,Uttar Pradesh,15,0,5,2,0,1
18-03-2020,Uttar Pradesh,16,0,5,1,0,0
19-03-2020,Uttar Pradesh,19,0,9,3,0,4
20-03-2020,Uttar Pradesh,19,0,9,0,0,0
21-03-2020,Uttar Pradesh,24,0,9,5,0,0
22-03-2020,Uttar Pradesh,27,0,9,3,0,0
23-03-2020,Uttar Pradesh,31,0,9,4,0,0
24-03-2020,Uttar Pradesh,33,0,11,2,0,2
25-03-2020,Uttar Pradesh,37,0,11,4,0,0
26-03-2020,Uttar Pradesh,41,0,11,4,0,0
27-03-2020,Uttar Pradesh,41,0,11,0,0,0
28-03-2020,Uttar Pradesh,55,0,11,14,0,0
29-03-2020,Uttar Pradesh,55,0,11,0,0,0
30-03-2020,Uttar Pradesh,75,0,11,20,0,0
31-03-2020,Uttar Pradesh,101,0,14,26,0,3
01-04-2020,Uttar Pradesh,103,2,14,2,2,0
02-04-2020,Uttar Pradesh,113,2,14,10,0,0
03-04-2020,Uttar Pradesh,113,2,14,0,0,0
04-04-2020,Uttar Pradesh,174,2,19,61,0,5
05-04-2020,Uttar Pradesh,227,2,19,53,0,0
06-04-2020,Uttar Pradesh,227,2,19,0,0,0
07-04-2020,Uttar Pradesh,305,3,21,78,1,2
08-04-2020,Uttar Pradesh,326,3,21,21,0,0
09-04-2020,Uttar Pradesh,361,4,27,35,1,6
10-04-2020,Uttar Pradesh,410,4,31,49,0,4
11-04-2020,Uttar Pradesh,431,4,32,21,0,1
12-04-2020,Uttar Pradesh,452,5,45,21,1,13
13-04-2020,Uttar Pradesh,483,5,46,31,0,1
14-04-2020,Uttar Pradesh,657,5,49,174,0,3
15-04-2020,Uttar Pradesh,660,5,50,3,0,1
16-04-2020,Uttar Pradesh,735,11,51,75,6,1
17-04-2020,Uttar Pradesh,846,14,74,111,3,23
18-04-2020,Uttar Pradesh,849,14,82,3,0,8
19-04-2020,Uttar Pradesh,969,14,86,120,0,4
20-04-2020,Uttar Pradesh,1084,17,108,115,3,22
